,index,file,date,bathym_mean,bathym_q25,bathym_q10,milemarker,segment_id,water_elev,geometry,bathym_fixing,bathym_fixed,depth,year
44,689,LM_10_SSL_20150518_CS_5270_5276_w_datum.gpkg,2015-05-18 00:00:00+00:00,-67.2015380859375,-74.08439254760742,-75.10385513305664,527.0,59,83.31113092090351,"POLYGON ((-91.12471964344968 33.24004464877508, -91.08803678488722 33.24004464877508, -91.08803678488722 33.2638256622473, -91.12471964344968 33.2638256622473, -91.12471964344968 33.24004464877508))",67.2015380859375,67.2015380859375,16.10959283496601,2015
45,968,LM_15_CVB_20150519_CS_MB_5957_5962_w_datum.gpkg,2015-05-19 00:00:00+00:00,-89.95597076416016,-93.20741653442384,-94.19727935791016,596.0,52,109.40110684477962,"POLYGON ((-91.03509382635659 33.934155821872885, -91.01982314323544 33.934155821872885, -91.01982314323544 33.946643705546016, -91.03509382635659 33.946643705546016, -91.03509382635659 33.934155821872885))",89.95597076416016,89.95597076416016,19.445136080619463,2015
46,690,LM_10_SSL_20150519_CS_5234_5268_w_datum.gpkg,2015-05-19 00:00:00+00:00,-61.1147575378418,-66.79267120361328,-73.51899490356445,525.0,59,82.5111316763617,"POLYGON ((-91.12234711571071 33.193010634011, -91.08222341585284 33.193010634011, -91.08222341585284 33.253292173722635, -91.12234711571071 33.253292173722635, -91.12234711571071 33.193010634011))",61.1147575378418,61.1147575378418,21.396374138519903,2015
47,969,LM_15_CVB_20150520_CS_MB_5953_5958_w_datum.gpkg,2015-05-20 00:00:00+00:00,-94.53987884521484,-96.71713638305664,-98.25028228759766,596.0,52,109.40110684477962,"POLYGON ((-91.02790711534657 33.93140696158068, -91.01158287361592 33.93140696158068, -91.01158287361592 33.94368291212017, -91.02790711534657 33.94368291212017, -91.02790711534657 33.93140696158068))",94.53987884521484,94.53987884521484,14.861227999564775,2015
48,970,LM_15_CVB_20150521_CS_MB_5946_5954_w_datum.gpkg,2015-05-21 00:00:00+00:00,-79.52523803710938,-93.29100036621094,-96.08989105224607,595.0,52,108.88986706673104,"POLYGON ((-91.02147854535549 33.921530722418595, -91.00567395785588 33.921530722418595, -91.00567395785588 33.93993601318637, -91.02147854535549 33.93993601318637, -91.02147854535549 33.921530722418595))",79.52523803710938,79.52523803710938,29.364629029621668,2015
49,971,LM_15_CVB_20150523_CS_MB_5942_5948_w_datum.gpkg,2015-05-23 00:00:00+00:00,-49.851165771484375,-55.67287349700928,-64.60725784301758,594.0,52,108.37862728868248,"POLYGON ((-91.02566621570365 33.916065987932896, -91.01217813934531 33.916065987932896, -91.01217813934531 33.9247694862154, -91.02566621570365 33.9247694862154, -91.02566621570365 33.916065987932896))",49.851165771484375,49.851165771484375,58.527461517198105,2015
50,972,LM_15_CVB_20150524_CS_MB_5938_5943_w_datum.gpkg,2015-05-24 00:00:00+00:00,-59.09416961669922,-63.67945289611816,-67.47368850708008,594.0,52,108.37862728868248,"POLYGON ((-91.02900810037573 33.90954115769506, -91.01691793827958 33.90954115769506, -91.01691793827958 33.91878201438084, -91.02900810037573 33.91878201438084, -91.02900810037573 33.90954115769506))",59.09416961669922,59.09416961669922,49.28445767198326,2015
51,605,LM_09_LPM_20150604_CS_5226_5234_w_datum.gpkg,2015-06-04 00:00:00+00:00,-57.77099990844727,-57.77099990844727,-57.77099990844727,523.0,60,81.71113243181989,"POLYGON ((-91.09872986651311 33.182214009325776, -91.07926930290591 33.182214009325776, -91.07926930290591 33.19807721859353, -91.09872986651311 33.19807721859353, -91.09872986651311 33.182214009325776))",57.77099990844727,57.77099990844727,23.94013252337262,2015
52,606,LM_09_LPM_20150605_CS_5194_5224_w_datum.gpkg,2015-06-05 00:00:00+00:00,,,,521.0,60,80.91113318727807,"POLYGON ((-91.09906124509232 33.1409546843913, -91.0774187069551 33.1409546843913, -91.0774187069551 33.182792928797866, -91.09906124509232 33.182792928797866, -91.09906124509232 33.1409546843913))",,,,2015
53,607,LM_09_LPM_20150610_CS_5172_5194_w_datum.gpkg,2015-06-10 00:00:00+00:00,,,,518.0,60,79.71113432046535,"POLYGON ((-91.12097916502978 33.11304364692327, -91.08306728627757 33.11304364692327, -91.08306728627757 33.14127649462895, -91.12097916502978 33.14127649462895, -91.12097916502978 33.11304364692327))",,,,2015
54,728,LM_11_YBS_20150610_CS_MB_5367_5368_w_datum.gpkg,2015-06-10 00:00:00+00:00,-53.064361572265625,-59.99423122406006,-69.9511604309082,537.0,58,88.5223221840296,"POLYGON ((-91.14016669450936 33.35247797389234, -91.12835519674128 33.35247797389234, -91.12835519674128 33.362089048576934, -91.14016669450936 33.362089048576934, -91.14016669450936 33.35247797389234))",53.064361572265625,53.064361572265625,35.45796061176398,2015
55,608,LM_09_LPM_20150611_CS_5140_5170_w_datum.gpkg,2015-06-11 00:00:00+00:00,-48.04023361206055,-51.0739164352417,-57.83416633605957,516.0,60,78.91113507592354,"POLYGON ((-91.16142838109941 33.09712275333422, -91.11385395521734 33.09712275333422, -91.11385395521734 33.14120132847395, -91.16142838109941 33.14120132847395, -91.16142838109941 33.09712275333422))",48.04023361206055,48.04023361206055,30.870901463862992,2015
